id,ta,kdmk,klpk,klpk_2,kdds,kdds2,jmax,jsisa,id_hari1,id_hari2,id_hari3,id_sesi1,id_sesi2,id_sesi3,id_ruang1,id_ruang2,id_ruang3,jns_jam,open_class
276953,20232,B12.6607,B12.6.1,,0,0,30,0,4,0,0,30,0,0,114,0,0,3,0
276954,20232,B12.6607,B12.6.2,,1398,0,35,35,4,0,0,14,0,0,518,0,0,3,1
276955,20232,B12.6607,B12.6.3,,1413,0,35,35,2,0,0,25,0,0,108,0,0,3,1
276950,20232,B12.6606,B12.6.3,,0,0,30,0,1,0,0,7,0,0,13,0,0,3,0
276951,20232,B12.6606,B12.6.4,,0,0,30,0,4,0,0,17,0,0,104,0,0,3,0
276952,20232,B12.6606,B12.6.5,,131,0,30,22,3,0,0,27,0,0,7,0,0,3,1
276947,20232,B12.6605,B12.6.1,,1308,0,135,132,6,0,0,2,0,0,0,0,0,3,1
276948,20232,B12.6606,B12.6.1,,34,0,30,30,2,0,0,17,0,0,7,0,0,3,1
276949,20232,B12.6606,B12.6.2,,0,0,30,0,3,0,0,1,0,0,48,0,0,3,0
276946,20232,B12.6604,B12.6.6,,100,12,34,34,3,0,0,18,0,0,12,0,0,3,1
276943,20232,B12.6604,B12.6.3,,0,0,30,0,1,0,0,31,0,0,12,0,0,3,0
276944,20232,B12.6604,B12.6.4,,2,0,30,15,4,0,0,12,0,0,6,0,0,3,1
276945,20232,B12.6604,B12.6.5,,36,0,30,24,1,0,0,12,0,0,6,0,0,3,1
276942,20232,B12.6604,B12.6.2,,1893,0,30,29,2,0,0,26,0,0,518,0,0,3,1
276940,20232,B12.6603,B12.6.5,,1490,0,30,17,1,0,0,31,0,0,25,0,0,3,1
276941,20232,B12.6604,B12.6.1,,36,0,32,32,3,0,0,5,0,0,6,0,0,3,1
276937,20232,B12.6603,B12.6.2,,1490,0,35,34,1,0,0,12,0,0,25,0,0,3,1
276938,20232,B12.6603,B12.6.3,,1161,0,36,36,1,0,0,18,0,0,25,0,0,3,1
276939,20232,B12.6603,B12.6.4,,1490,0,35,30,1,0,0,26,0,0,25,0,0,3,1
276934,20232,B12.6602,B12.6.4,,1423,0,41,41,1,0,0,12,0,0,9,0,0,3,1
276935,20232,B12.6602,B12.6.5,,0,0,30,0,3,0,0,2,0,0,12,0,0,3,0
276936,20232,B12.6603,B12.6.1,,1161,0,35,25,1,0,0,2,0,0,25,0,0,3,1
276931,20232,B12.6602,B12.6.1,,133,0,38,19,2,0,0,31,0,0,9,0,0,3,1
276932,20232,B12.6602,B12.6.2,,133,0,40,40,4,0,0,26,0,0,6,0,0,3,1
276933,20232,B12.6602,B12.6.3,,1057,0,40,39,3,0,0,18,0,0,6,0,0,3,1
276929,20232,B12.6601,B12.6.4,,2421,0,41,40,3,0,0,18,0,0,500,0,0,3,1
276930,20232,B12.6601,B12.6.5,,121,0,38,28,4,0,0,12,0,0,7,0,0,3,1
276927,20232,B12.6601,B12.6.2,,0,0,30,0,1,0,0,31,0,0,6,0,0,3,0
276928,20232,B12.6601,B12.6.3,,2421,0,40,39,2,0,0,12,0,0,9,0,0,3,1
276923,20232,B12.6409,B12.4.5,,0,0,30,0,3,0,0,26,0,0,104,0,0,3,0
276924,20232,B12.6409,B12.4.6,,0,0,30,0,2,0,0,31,0,0,500,0,0,3,0
