"kur_id","kdmk","nmmk","nmen","tp","sks","sks_t","sks_p","smt","jns_smt","aktif","kur_nama","kelompok_makul","kur_aktif","jenis_matkul"
137,D11.5657,BIOSTATISTIK,"0",T,2,2,0,6,2,0,D11.KUR.2024/2025,MKB,1,wajib
137,D11.5660,ICD LANJUT 2,"0",T,2,2,0,6,2,0,D11.KUR.2024/2025,MKB,1,wajib
137,D11.5661,PEMROGRAMAN WEB INTERNET,"0",P,4,0,4,6,2,0,D11.KUR.2024/2025,MPK,1,wajib
137,D11.5701,PBL,Field Training,P,4,0,4,7,1,0,D11.KUR.2024/2025,MBB,1,wajib
137,D11.5702,MAGANG,Apprenticeship,P,3,0,3,7,1,0,D11.KUR.2024/2025,MBB,1,wajib
137,D11.5703,ENTREPRENEURSHIP LANJUT,Advanced Enterpreunership,P,3,0,3,7,1,0,D11.KUR.2024/2025,MPK,1,wajib
137,D11.5704,PBL,"0",P,4,0,4,7,1,0,D11.KUR.2024/2025,MPK,1,wajib
137,D11.5721,HUKUM KESEHATAN EHR,"0",T,0,0,0,0,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.5722,AUDIT REKAM MEDIS,"0",T,2,2,0,7,1,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.5723,ELECTRONIC HEALTH RECORDS,"0",T,4,4,0,6,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.5724,ICD LANJUT 3,"0",T,2,2,0,7,1,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.5801,SKRIPSI,Thesis,T,6,6,0,8,2,0,D11.KUR.2024/2025,MKB,1,wajib
137,D11.6101,PENDIDIKAN KEWARGANEGARAAN,Citizenship Education,T,2,2,0,6,2,0,D11.KUR.2024/2025,MPK,1,wajib
137,D11.6102,PENDIDIKAN AGAMA,Religion,T,3,3,0,1,1,0,D11.KUR.2024/2025,MPK,1,wajib
137,D11.6103,DASAR ILMU KESEHATAN MASYARAKAT,Basic Public Health Science,T,2,2,0,1,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6103,DASAR ILMU KESEHATAN MASYARAKAT,Basic Public Health Science,T,2,2,0,1,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6104,BIOMEDIK 2,Biomedical Sciences 2,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6104,BIOMEDIK 2,Biomedical Sciences 2,T,2,2,0,2,2,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6105,BAHASA INDONESIA,Indonesian Language,T,2,2,0,5,1,0,D11.KUR.2024/2025,MKB,1,wajib
137,D11.6106,BIOMEDIK 1,Biomedical Sciences 1,T,2,2,0,1,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6106,BIOMEDIK 1,Biomedical Sciences 1,T,2,2,0,1,1,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6107,PENDIDIKAN PANCASILA,Nationality,T,2,2,0,1,1,0,D11.KUR.2024/2025,MPK,1,wajib
137,D11.6108,SOSIOLOGI-ANTROPOLOGI KESEHATAN,Sociology & Anthropology of Health,T,3,3,0,1,1,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6109,PENGENALAN TEKNOLOGI INFORMASI,Introduction of Information Technology,P,2,0,2,1,1,0,D11.KUR.2024/2025,MKB,1,wajib
125,D11.6201,BIOMEDIK 3,Biomedical Sciences 3,T,2,2,0,2,2,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6201,BIOMEDIK 3,Biomedical Sciences 3,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6202,ADMINISTRASI DAN KEBIJAKAN KESEHATAN,Health Administration and Policy,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6203,DASAR KESEHATAN LINGKUNGAN,Basic Environmental Health,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6204,DASAR ILMU GIZI KESEHATAN MASYARAKAT,Basics Nutritional Public Health,T,3,3,0,1,1,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6204,DASAR ILMU GIZI KESEHATAN MASYARAKAT,Basics Nutritional Public Health,T,3,3,0,1,1,1,Z11.KUR.2021/2022,MKK,1,wajib
125,D11.6205,DASAR EPIDEMIOLOGI,Basic Epidemiology,T,2,2,0,2,2,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6205,DASAR EPIDEMIOLOGI,Basic Epidemiology,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6206,BIOSTATISTIK DESKRIPTIF DAN INFERENSIAL,Descriptive and Inferential Biostatistic,T,3,3,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
125,D11.6206,BIOSTATISTIK DESKRIPTIF DAN INFERENSIAL,Descriptive and Inferential Biostatistic,T,3,3,0,2,2,1,Z11.KUR.2021/2022,MKK,1,wajib
137,D11.6207,BAHASA INGGRIS 1,English I,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKK,1,wajib
137,D11.6208,KOMUNIKASI KESEHATAN,Health Communication,T,2,2,0,2,2,0,D11.KUR.2024/2025,MKB,1,wajib
125,D11.6208,KOMUNIKASI KESEHATAN,Health Communication,T,2,2,0,2,2,1,Z11.KUR.2021/2022,MKB,1,wajib
125,D11.6209,DASAR KESEHATAN REPRODUKSI,Basic Reproductive Health ,T,2,2,0,2,2,1,Z11.KUR.2021/2022,MKK,1,wajib
