nim_dinus,ta_masuk_mhs
8eda27f0e923c986b46e6e265a0f2849,2024
1e1b8f6f3d30a1f9989dac87938da141,2024
4cd3cbe17757d807b199adee2ceecac2,2024
ccdf8e9bb4ab8afcf15929cd1ef66b26,2024
f7257736dfb1243898c3c9a5614949d3,2024
d900b6cd26179d72647b9d8681a850f6,2024
1251f6d1ebfea4907775bc64b400778f,2024
0cd043b322d4c44094384dbfd9113bcc,2024
cc84c338d05da85e28c68b41547c101e,2024
7a173406413d4318f001cfd96756114f,2024
5d9a15b92eb1f6b24d598254282543da,2024
36f2ba4af5f26f897dfcffc0faad4034,2024
14dce8f58c237c6facfdc51d37a93407,2024
e1c02c67ecf02c5e97356548c96700cd,2024
b4425cb245abbccef57e5c44054f2ea5,2024
9f9eff068ccfe69d065a79587ee28dde,2024
8feab48147a1ceb8df6fab7848e3336f,2024
9b1647da395ff6e2ac4a0ab3fecc43bb,2024
b64c68284621b938da501ec060fc791e,2024
2f5620caf9966e2fc7d28c36375989e6,2024
2976f5d4ed63242b4e7e396b51c8e55e,2024
abb37c857c0b80b060dd48dc9e01e9a7,2024
07903b69cadf3cdbebacab68239cea37,2024
37c43bfdbe13bf0312fcd2f7e9e572f7,2024
45dde9addd96359b300412303a8d5e25,2024
b944c75c561aa3ba6340519318503d0c,2024
