"id","ta","nim_dinus","spp_bayar","spp_bayar_date","spp_host","spp_status","spp_dispensasi","spp_bank","spp_transaksi"
298465,20232,"02e4a37acbfc2bcd3273dfc2fe7663c8",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6412100039"
298466,20232,e8e9d46e7a9dc1375e2cfbfd011176f3,1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6412100038"
298467,20232,"7140fd45ef9973f57dffc9dd677e18fa",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6412200049"
298468,20232,"2c91108946e7765e74ee40c30eed00e8",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6422200006"
298469,20232,a66924a71145ad61c08ceda5162cad5b,1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6422200002"
298470,20232,"91e13d6b0106a15f3e2b381193725c2b",1,2024-01-08 00:00:00.000,VA AUTO IMPORT,1,"0",auto_import,"6422300023"
298471,20232,"4333ea06c27363b73ac6a8c87681c165",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4112303816"
298472,20232,"813fc86c0cb1854738dc2f7a359ddfe3",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"2112107110"
298473,20232,"6b3b1ddd4a525412197bbc02ab0e5a63",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"5112301202"
298474,20232,f7769842180629a45d6671dc5988d5c8,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4222303614"
298475,20232,e2f1d0d0aefa78da829d8da3566916dc,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4112303824"
298476,20232,"6ae8d0b5ca202535c0721c6a1ea1e1ee",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"3112002257"
298477,20232,"29e77f073cfa9c9b89beb5490c04c9ed",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1152102135"
298478,20232,ccabbe02e5084a76e6a94550bc683741,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112214139"
298479,20232,eb15fff0f87b25287904f0b092311a1f,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"2122004366"
298480,20232,ced7552e159e805972fe9f5f55a2b03f,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1162300450"
298481,20232,e190a9ef1a3c2abc72f62b12ce4e13aa,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1161900231"
298482,20232,"62e2f0316f085a0f8b30ff6a44cbc293",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112214504"
298483,20232,"5b955e9bd253c153a29ceb7e0d72d97f",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"6132200058"
298484,20232,bbfc0bb5c09471d59076c9d522de2be5,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112315221"
298485,20232,f2f991f1028d1c446b152272bd642975,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"3112002197"
298486,20232,a89cdb13fa807743932537cf392062e6,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"3112102381"
298487,20232,"42a0c22ac2d6baccdba03406b63893e3",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4112303877"
298488,20232,bb8da182608f3180135429aa97c9afba,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1152102203"
298489,20232,"05a9e6262a140ccfe02391a7aed20690",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"2112308129"
298490,20232,c552389b39783a31aac13d55aff71c3f,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112314903"
298491,20232,"62711385af3746cea63bd48185ddaa1a",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4112303751"
298492,20232,"617efc3afd81dbdee5302acfcae54e1e",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4222303573"
298493,20232,"65e80503cf66705dd609501db820008b",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4122300240"
298494,20232,eb14afca3c79eb76eed11d9ada8e7b90,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"2112208112"
298495,20232,"5dba65a98968466ae3fbe5cfbb094df6",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1152202446"
298496,20232,dec4f62f4b9954ba61322391b9d10493,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",Mandiri,"2112006575"
298497,20232,"05212e237a6e4ebfca36b5d6abba635d",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",Mandiri,"1122006425"
298498,20232,"0ee176943546baf59dd8ec607e3dde28",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",Mandiri,"1112013199"
298499,20232,"3a17f0500fbac7318ce4eefde40095b2",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",Mandiri,"1112214585"
298500,20232,a475a743a7e66431a4bf3d49516437d9,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",Mandiri,"3111902011"
298501,20232,"603fc385fb3c159d7d16bf09f3e72c11",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",Mandiri,"1112113548"
298502,20232,"1624bf5126e97757293803cfc43cc0a3",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1122206934"
298503,20232,"88ab764b44d0bf87263d9609a5febbf8",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1172300304"
298504,20232,"9ea517edc41c80d438a1e2b172fa354a",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"5122301771"
298505,20232,e7a0b18feb376d37a56d91f0f32d3b61,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"4222303662"
298506,20232,c3dc0cafc364aa329af45cd7e0fac790,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4112303876"
298507,20232,"799846040986b8272f8da1aa7847e64c",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1142204097"
298508,20232,"4dd848aae832237caf92d61e6a00eb85",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1112315098"
298510,20232,"67e7d2c45f6ad1f4cfbd712a53100375",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1112315354"
298511,20232,"950306ff715c166c8b8a4fdc3b7d1f2d",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1112214556"
298512,20232,"039395effa44175294434bd6f39c1ee5",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1152302687"
298513,20232,"23670fd2b214bc921ebabf037416280e",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112213997"
298514,20232,"57343829165374aa4ffa08f39808d046",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1152001738"
298515,20232,fd35241c2c2423844fae22c4482db18d,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1112113298"
298516,20232,"20ca68e02b35119597465a77b7e8c7cd",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4112203573"
298517,20232,a6d77d9a1b46ed757e0f0a8b75814f8b,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112314906"
298518,20232,b80908bb78f117b98195e605822ac35d,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"2121803736"
298519,20232,"65a477aee27487228dcb2af822858f95",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"2121904185"
298520,20232,"78e6d680e4f9db053124703a0cfe6a62",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"2111804897"
298521,20232,"2c3da47717c32d444a1ab1aa3cd3bb8a",1,2024-01-15 00:00:00.000,VA AUTO IMPORT,1,"0",BPD Jateng,"1122006444"
298522,20232,"1d361b535283b6339a10fe3ae6ba5f15",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1152302581"
298523,20232,"5dc01f386755e794bf8706f8aede5143",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"4222303610"
298524,20232,"7ec9ea48df4a0afaa9857f0c3d799167",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112314946"
298525,20232,"2295fead49f8d524915ec628c94f93c4",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112113370"
298526,20232,e5687190aa195b8d7ea921a3438eabb5,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1142304175"
298527,20232,e66480fdc1b7d21a1e7694f9a48dc2bc,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1152302590"
298528,20232,b5a5fd1fbfe681d49b7df6f8336d4421,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1112314947"
298529,20232,"4c7399622e1974e4dcc7a1e1b0d39127",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1142204060"
298530,20232,a51d9dbaaf193c0a398d33d64cb0f21d,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1152202483"
298531,20232,f19a5f0c1edb76021812b35be441265b,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1122306987"
298532,20232,"1ecfd67a50791ef162ab21f250c83ab5",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"6142200121"
298533,20232,d6d704b9c115c9a79b0fd94ac6f29345,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1152202354"
298534,20232,b3b796ebd469d782d588c4c51a685ee6,1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BCA,"1152302637"
298535,20232,"9065b759ec71fed9687e11e86e923110",1,2024-02-17 14:50:44.000,AUTO IMPORT,1,"0",BPD Jateng,"1152001930"
